"","COUNTY","DATE","Population","cdc_multiplier","cdc_case_vacc_obs_imm_up","N","I","R","S"
"9053","Craven",2021-02-01,102491,0,32.6201480309538,102491,0,33432.7159184049,69058.2840815951
"9054","Craven",2021-02-02,102491,0,32.97046092055,102491,0,33791.7551020809,68699.2448979191
"9055","Craven",2021-02-03,102491,0,33.3478762396512,102491,0,34178.5718367809,68312.4281632191
"9056","Craven",2021-02-04,102491,0,33.7523939882691,102491,0,34593.1661225169,67897.8338774831
"9057","Craven",2021-02-05,102491,0,34.1381799776691,102491,0,34988.5620409129,67502.4379590871
"9058","Craven",2021-02-06,102491,0,34.5052342078513,102491,0,35364.7595919689,67126.2404080311
"9059","Craven",2021-02-07,102491,1344,36.1648913325101,102491,1344,35721.7587756029,65425.2412243971
"9060","Craven",2021-02-08,102491,0,36.4944820441765,102491,0,37403.5595918969,65087.4404081031
"9061","Craven",2021-02-09,102491,0,36.805340996625,102491,0,37722.1620408509,64768.8379591491
"9062","Craven",2021-02-10,102491,0,37.0974681898556,102491,0,38021.5661224649,64469.4338775351
"9063","Craven",2021-02-11,102491,0,37.3708636238683,102491,0,38301.7718367389,64189.2281632611
"9064","Craven",2021-02-12,102491,0,37.635537137248,102491,0,38573.0383673369,63917.9616326631
"9065","Craven",2021-02-13,102491,0,37.891488729983,102491,0,38835.3657142469,63655.6342857531
"9066","Craven",2021-02-14,102491,992,39.1066082655852,102491,992,39088.7538774809,62410.2461225191
"9067","Craven",2021-02-15,102491,0,39.3451160170541,102491,0,40325.2028570389,62165.7971429611
"9068","Craven",2021-02-16,102491,0,39.5749018479582,102491,0,40560.7126529909,61930.2873470091
"9069","Craven",2021-02-17,102491,0,39.7959657582294,102491,0,40787.2832652669,61703.7167347331
"9070","Craven",2021-02-18,102491,0,40.0083077478675,102491,0,41004.9146938669,61486.0853061331
"9071","Craven",2021-02-19,102491,0,40.2310964486763,102491,0,41233.2530612129,61257.7469387871
"9072","Craven",2021-02-20,102491,0,40.4643318606559,102491,0,41472.2983673049,61018.7016326951
"9073","Craven",2021-02-21,102491,864,41.551014832753,102491,864,41722.0506122369,59904.9493877631
"9074","Craven",2021-02-22,102491,0,41.8051436671658,102491,0,42846.5097959149,59644.4902040851
"9075","Craven",2021-02-23,102491,0,42.0697192127493,102491,0,43117.6759183389,59373.3240816611
"9076","Craven",2021-02-24,102491,0,42.3447414695953,102491,0,43399.5489796029,59091.4510203971
"9077","Craven",2021-02-25,102491,0,42.630210437612,102491,0,43692.1289796129,58798.8710203871
"9078","Craven",2021-02-26,102491,0,42.8934741706988,102491,0,43961.9506122909,58529.0493877091
"9079","Craven",2021-02-27,102491,0,43.134532668844,102491,0,44209.0138776249,58281.9861223751
"9080","Craven",2021-02-28,102491,696,44.0324699491125,102491,696,44433.3187755449,57361.6812244551
"9081","Craven",2021-03-01,102491,0,44.2291179773179,102491,0,45330.8653061329,57160.1346938671
"9082","Craven",2021-03-02,102491,0,44.4035607705817,102491,0,45509.6534693769,56981.3465306231
"9083","Craven",2021-03-03,102491,0,44.5557983289156,102491,0,45665.6832652889,56825.3167347111
"9084","Craven",2021-03-04,102491,0,44.6858306523079,102491,0,45798.9546938569,56692.0453061431
"9085","Craven",2021-03-05,102491,0,44.8318046442135,102491,0,45948.5648979009,56542.4351020991
"9086","Craven",2021-03-06,102491,0,44.9937203047125,102491,0,46114.5138775029,56376.4861224971
"9087","Craven",2021-03-07,102491,488,45.6477170020596,102491,488,46296.8016325809,55706.1983674191
"9088","Craven",2021-03-08,102491,0,45.8415159996769,102491,0,46983.4281632289,55507.5718367711
"9089","Craven",2021-03-09,102491,0,46.0512566658076,102491,0,47198.3934693529,55292.6065306471
"9090","Craven",2021-03-10,102491,0,46.2769390004516,102491,0,47429.6975509529,55061.3024490471
"9091","Craven",2021-03-11,102491,0,46.518563003689,102491,0,47677.3404081109,54813.6595918891
"9092","Craven",2021-03-12,102491,0,46.8203392504443,102491,0,47986.6339011729,54504.3660988271
"9093","Craven",2021-03-13,102491,0,47.1822677407293,102491,0,48357.5780301509,54133.4219698491
"9094","Craven",2021-03-14,102491,584,48.1741546038627,102491,584,48790.1727950449,53116.8272049551
"9095","Craven",2021-03-15,102491,0,48.6563875811953,102491,0,49868.4181958429,52622.5818041571
"9096","Craven",2021-03-16,102491,0,49.1987728020576,102491,0,50424.3142325569,52066.6857674431
"9097","Craven",2021-03-17,102491,0,49.8013102664379,102491,0,51041.8609051749,51449.1390948251
"9098","Craven",2021-03-18,102491,0,50.4639999743479,102491,0,51721.0582137089,50769.9417862911
"9099","Craven",2021-03-19,102491,0,51.0856517270393,102491,0,52358.1953115599,50132.8046884401
"9100","Craven",2021-03-20,102491,0,51.6662655245013,102491,0,52953.2721987166,49537.7278012834
"9101","Craven",2021-03-21,102491,508,52.7014946436178,102491,508,53506.2888751903,48476.7111248097
"9102","Craven",2021-03-22,102491,0,53.200032530642,102491,0,54525.2453409803,47965.7546590197
"9103","Craven",2021-03-23,102491,0,53.6575324624477,102491,0,54994.1415960873,47496.8584039127
"9104","Craven",2021-03-24,102491,0,54.0739944390232,102491,0,55420.9776404993,47070.0223595007
"9105","Craven",2021-03-25,102491,0,54.4494184603802,102491,0,55805.7534742283,46685.2465257717
"9106","Craven",2021-03-26,102491,0,54.8437778135722,102491,0,56209.9363189083,46281.0636810917
"9107","Craven",2021-03-27,102491,0,55.2570724985992,102491,0,56633.5261745393,45857.4738254607
"9108","Craven",2021-03-28,102491,508,56.1849557923342,102491,508,57076.5230411213,44906.4769588787
"9109","Craven",2021-03-29,102491,0,56.6361211409629,102491,0,58046.9269185843,44444.0730814157
"9110","Craven",2021-03-30,102491,0,57.1062218214265,102491,0,58528.7378069983,43962.2621930017
"9111","Craven",2021-03-31,102491,0,57.5952578337252,102491,0,59029.9557063633,43461.0442936367
"9112","Craven",2021-04-01,102491,0,58.1032291777788,102491,0,59550.5806165973,42940.4193834027
"9113","Craven",2021-04-02,102491,0,58.5930527292019,102491,0,60052.6056726863,42438.3943273137
"9114","Craven",2021-04-03,102491,0,59.0647284879826,102491,0,60536.0308746183,41954.9691253817
"9115","Craven",2021-04-04,102491,204,59.7172983212119,102491,204,61000.8562223933,41286.1437776067
"9116","Craven",2021-04-05,102491,0,60.1526784947998,102491,0,61651.0817161053,40839.9182838947
"9117","Craven",2021-04-06,102491,0,60.5699108757455,102491,0,62078.7073556603,40412.2926443397
"9118","Craven",2021-04-07,102491,0,60.9689954640488,102491,0,62487.7331410583,40003.2668589417
"9119","Craven",2021-04-08,102491,0,61.3499322597216,102491,0,62878.1590723113,39612.8409276887
"9120","Craven",2021-04-09,102491,0,61.7246120936231,102491,0,63262.1721808753,39228.8278191247
"9121","Craven",2021-04-10,102491,0,62.0930349658402,102491,0,63639.7724668393,38851.2275331607
"9122","Craven",2021-04-11,102491,348,62.7947428849326,102491,348,64010.9599301963,38132.0400698037
"9123","Craven",2021-04-12,102491,0,63.1506518336988,102491,0,64723.7345708763,37767.2654291237
"9124","Craven",2021-04-13,102491,0,63.5003038207806,102491,0,65082.0963889563,37408.9036110437
"9125","Craven",2021-04-14,102491,0,63.8436988461712,102491,0,65434.0453844293,37056.9546155707
"9126","Craven",2021-04-15,102491,0,64.1808369098821,102491,0,65779.5815573073,36711.4184426927
"9127","Craven",2021-04-16,102491,0,64.508252727669,102491,0,66115.1533031153,36375.8466968847
"9128","Craven",2021-04-17,102491,0,64.8259462995368,102491,0,66440.7606218583,36050.2393781417
"9129","Craven",2021-04-18,102491,392,65.5163902328315,102491,392,66756.4035135313,35342.5964864687
"9130","Craven",2021-04-19,102491,0,65.814639312856,102491,0,67454.0819781393,35036.9180218607
"9131","Craven",2021-04-20,102491,0,66.1031661469566,102491,0,67749.7960156773,34741.2039843227
"9132","Craven",2021-04-21,102491,0,66.381970735138,102491,0,68035.5456261503,34455.4543738497
"9133","Craven",2021-04-22,102491,0,66.6510530773953,102491,0,68311.3308095533,34179.6691904467
"9134","Craven",2021-04-23,102491,0,66.9035996940876,102491,0,68570.1683624673,33920.8316375327
"9135","Craven",2021-04-24,102491,0,67.1396105851961,102491,0,68812.0582848733,33678.9417151267
"9136","Craven",2021-04-25,102491,204,67.5581276178301,102491,204,69037.0005767903,33249.9994232097
"9137","Craven",2021-04-26,102491,0,67.7610670577966,102491,0,69448.9952382063,33042.0047617937
"9138","Craven",2021-04-27,102491,0,67.9474707721861,102491,0,69640.0422691213,32850.9577308787
"9139","Craven",2021-04-28,102491,0,68.1173387610837,102491,0,69814.1416696223,32676.8583303777
"9140","Craven",2021-04-29,102491,0,68.2706710244044,102491,0,69971.2934396223,32519.7065603777
"9141","Craven",2021-04-30,102491,0,68.4177800423513,102491,0,70122.0669432063,32368.9330567937
"9142","Craven",2021-05-01,102491,0,68.5586658149245,102491,0,70266.4621803743,32224.5378196257
