"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_up","N","I","R","S"
"20959","Madison",2021-02-02,21499,0,34.1266620093825,21499,0,7336.89106539713,14162.1089346029
"20960","Madison",2021-02-03,21499,0,34.5373598015607,21499,0,7425.18698373753,14073.8130162625
"20961","Madison",2021-02-04,21499,0,34.9617383439208,21499,0,7516.42412655953,13982.5758734405
"20962","Madison",2021-02-05,21499,0,35.3666456436538,21499,0,7603.47514692913,13895.5248530709
"20963","Madison",2021-02-06,21499,0,35.7520817009504,21499,0,7686.34004488733,13812.6599551127
"20964","Madison",2021-02-07,21499,0,36.1180465156581,21499,0,7765.01882040133,13733.9811795987
"20965","Madison",2021-02-08,21499,0,36.4645400877387,21499,0,7839.51147346294,13659.4885265371
"20966","Madison",2021-02-09,21499,0,36.7915624171921,21499,0,7909.81800407213,13589.1819959279
"20967","Madison",2021-02-10,21499,0,37.0991135040566,21499,0,7975.93841223713,13523.0615877629
"20968","Madison",2021-02-11,21499,0,37.387193348294,21499,0,8037.87269794973,13461.1273020503
"20969","Madison",2021-02-12,21499,0,37.6578295715416,21499,0,8096.05677958574,13402.9432204143
"20970","Madison",2021-02-13,21499,0,37.9110221737613,21499,0,8150.49065713693,13348.5093428631
"20971","Madison",2021-02-14,21499,0,38.1467711549474,21499,0,8201.17433060214,13297.8256693979
"20972","Madison",2021-02-15,21499,0,38.3650765151436,21499,0,8248.10779999073,13250.8922000093
"20973","Madison",2021-02-16,21499,0,38.5659382543064,21499,0,8291.29106529334,13207.7089347067
"20974","Madison",2021-02-17,21499,0,38.7493563724793,21499,0,8330.72412651933,13168.2758734807
"20975","Madison",2021-02-18,21499,0,38.9153308696187,21499,0,8366.40698365933,13132.5930163407
"20976","Madison",2021-02-19,21499,0,39.1241815897853,21499,0,8411.30779998794,13087.6922000121
"20977","Madison",2021-02-20,21499,0,39.3759085329408,21499,0,8465.42657549693,13033.5734245031
"20978","Madison",2021-02-21,21499,0,39.6705116991234,21499,0,8528.76331019453,12970.2366898055
"20979","Madison",2021-02-22,21499,0,40.007991088295,21499,0,8601.31800407253,12897.6819959275
"20980","Madison",2021-02-23,21499,0,40.3883467004555,21499,0,8683.09065713094,12815.9093428691
"20981","Madison",2021-02-24,21499,0,40.8115785356432,21499,0,8774.08126937793,12724.9187306221
"20982","Madison",2021-02-25,21499,0,41.2776865939343,21499,0,8874.28984082993,12624.7101591701
"20983","Madison",2021-02-26,21499,0,41.7005216379829,21499,0,8965.19514694993,12533.8048530501
"20984","Madison",2021-02-27,21499,0,42.0800836679359,21499,0,9046.79718776953,12452.2028122305
"20985","Madison",2021-02-28,21499,0,42.4163726837608,21499,0,9119.09596328173,12379.9040367183
"20986","Madison",2021-03-01,21499,0,42.709388685452,21499,0,9182.09147348533,12316.9085265147
"20987","Madison",2021-03-02,21499,0,42.9591316730152,21499,0,9235.78371838153,12263.2162816185
"20988","Madison",2021-03-03,21499,0,43.1656016464446,21499,0,9280.17269796913,12218.8273020309
"20989","Madison",2021-03-04,21499,0,43.3287986057841,21499,0,9315.25841225753,12183.7415877425
"20990","Madison",2021-03-05,21499,0,43.5038898060353,21499,0,9352.90126939953,12146.0987306005
"20991","Madison",2021-03-06,21499,0,43.6908752472363,21499,0,9393.10126940334,12105.8987305967
"20992","Madison",2021-03-07,21499,0,43.889754929349,21499,0,9435.85841226073,12063.1415877393
"20993","Madison",2021-03-08,21499,0,44.1005288523733,21499,0,9481.17269797174,12017.8273020283
"20994","Madison",2021-03-09,21499,0,44.323197016353,21499,0,9529.04412654573,11969.9558734543
"20995","Madison",2021-03-10,21499,0,44.5577594212444,21499,0,9579.47269797334,11919.5273020267
"20996","Madison",2021-03-11,21499,0,44.8042160670856,21499,0,9632.45841226273,11866.5415877373
"20997","Madison",2021-03-12,21499,0,45.0646068998592,21499,0,9688.43983740073,11810.5601625993
"20998","Madison",2021-03-13,21499,0,45.3389319195708,21499,0,9747.41697338853,11751.5830266115
"20999","Madison",2021-03-14,21499,153.846153846154,46.3427879160477,21499,153.846153846154,9809.38982022493,11535.7640259289
