"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_lower","N","I","R","S"
"23326","Moore",2021-06-02,97294,0,44.264319577911,97294,0,43066.5270901328,54227.4729098672
"23327","Moore",2021-06-03,97294,0,44.3916224161458,97294,0,43190.3851135649,54103.6148864351
"23328","Moore",2021-06-04,97294,0,44.5143146040359,97294,0,43309.7572508507,53984.2427491493
"23329","Moore",2021-06-05,97294,0,44.6323961415806,97294,0,43424.6435019895,53869.3564980105
"23330","Moore",2021-06-06,97294,0,44.7458670287788,97294,0,43535.0438669801,53758.9561330199
"23331","Moore",2021-06-07,97294,0,44.8547272656317,97294,0,43640.9583458237,53653.0416541763
"23332","Moore",2021-06-08,97294,0,44.9589768521399,97294,0,43742.386938521,53551.613061479
"23333","Moore",2021-06-09,97294,0,45.0586157883015,97294,0,43839.3296450701,53454.6703549299
"23334","Moore",2021-06-10,97294,0,45.1536440741094,97294,0,43931.7864654639,53362.2135345361
"23335","Moore",2021-06-11,97294,0,45.2426444980396,97294,0,44018.3785379227,53275.6214620773
"23336","Moore",2021-06-12,97294,0,45.3256170600903,97294,0,44099.1058624443,53194.8941375557
"23337","Moore",2021-06-13,97294,0,45.4025617602711,97294,0,44173.9684390382,53120.0315609618
"23338","Moore",2021-06-14,97294,0,45.4734785985736,97294,0,44242.9662676962,53051.0337323038
"23339","Moore",2021-06-15,97294,0,45.5383675750068,97294,0,44306.0993484272,52987.9006515728
"23340","Moore",2021-06-16,97294,0,45.5972286895618,97294,0,44363.3676812223,52930.6323187777
"23341","Moore",2021-06-17,97294,0,45.6500619422469,97294,0,44414.7712660897,52879.2287339103
"23342","Moore",2021-06-18,97294,0,45.7025026819985,97294,0,44465.7929594236,52828.2070405764
"23343","Moore",2021-06-19,97294,0,45.7545509088265,97294,0,44516.4327612337,52777.5672387663
"23344","Moore",2021-06-20,97294,0,45.8062066227315,97294,0,44566.6906715204,52727.3093284796
"23345","Moore",2021-06-21,97294,0,45.8574698237115,97294,0,44616.5666902818,52677.4333097182
"23346","Moore",2021-06-22,97294,0,45.9083405117678,97294,0,44666.0608175194,52627.9391824806
"23347","Moore",2021-06-23,97294,0,45.9588186868907,97294,0,44715.1730532235,52578.8269467765
"23348","Moore",2021-06-24,97294,0,46.0089043490899,97294,0,44763.9033974036,52530.0966025964
"23349","Moore",2021-06-25,97294,0,46.0580917764333,97294,0,44811.7598129631,52482.2401870369
"23350","Moore",2021-06-26,97294,0,46.1063809689215,97294,0,44858.7422999025,52435.2577000975
"23351","Moore",2021-06-27,97294,153.846153846154,46.1537719265538,97294,153.846153846154,44751.0047043751,52389.1491417787
"23352","Moore",2021-06-28,97294,0,46.2002646493308,97294,0,44950.08548792,52343.91451208
"23353","Moore",2021-06-29,97294,0,46.2458591372605,97294,0,44994.4461890063,52299.5538109937
"23354","Moore",2021-06-30,97294,0,46.2905553903337,97294,0,45037.9329614713,52256.0670385287
"23355","Moore",2021-07-01,97294,0,46.3343534085516,97294,0,45080.5458053162,52213.4541946838
"23356","Moore",2021-07-02,97294,0,46.3772527253295,97294,0,45122.2842665821,52171.7157334179
"23357","Moore",2021-07-03,97294,0,46.4192533406655,97294,0,45163.1483452671,52130.8516547329
"23358","Moore",2021-07-04,97294,461.538461538462,46.4603552545608,97294,461.538461538462,44741.5995798339,52090.8619586276
"23359","Moore",2021-07-05,97294,0,46.5005584670154,97294,0,45242.253354898,52051.746645102
"23360","Moore",2021-07-06,97294,0,46.5398629780378,97294,0,45280.4942858521,52013.5057141479
"23361","Moore",2021-07-07,97294,0,46.5782687876202,97294,0,45317.8608342272,51976.1391657728
"23362","Moore",2021-07-08,97294,307.692307692308,46.6157758957619,97294,307.692307692308,45046.6606923302,51939.6469999774
"23363","Moore",2021-07-09,97294,0,46.6526409920896,97294,0,45390.2205268437,51903.7794731563
"23364","Moore",2021-07-10,97294,0,46.6888640766118,97294,0,45425.4634146986,51868.5365853014
"23365","Moore",2021-07-11,97294,153.846153846154,46.7244451493207,97294,153.846153846154,45306.2355097339,51833.9183364199
"23366","Moore",2021-07-12,97294,0,46.759384210224,97294,0,45494.0752734953,51799.9247265047
"23367","Moore",2021-07-13,97294,0,46.7936812593134,97294,0,45527.4442444364,51766.5557555636
"23368","Moore",2021-07-14,97294,0,46.8273362965979,97294,0,45560.188576412,51733.811423588
"23369","Moore",2021-07-15,97294,769.230769230769,46.8603493220684,97294,769.230769230769,44823.0775001825,51701.6917305867
"23370","Moore",2021-07-16,97294,0,46.893370295813,97294,0,45624.4356956083,51669.5643043917
"23371","Moore",2021-07-17,97294,0,46.9263992178308,97294,0,45656.5708549963,51637.4291450037
"23372","Moore",2021-07-18,97294,461.538461538462,46.9594360881226,97294,461.538461538462,45227.1752860395,51605.286252422
"23373","Moore",2021-07-19,97294,0,46.9924809066876,97294,0,45720.8643733527,51573.1356266473
"23374","Moore",2021-07-20,97294,0,47.0255336735267,97294,0,45753.0227323211,51540.9772676789
"23375","Moore",2021-07-21,97294,0,47.0585943886397,97294,0,45785.1888244832,51508.8111755168
"23376","Moore",2021-07-22,97294,615.384615384615,47.0916630520261,97294,615.384615384615,45201.9780344536,51476.6373501618
"23377","Moore",2021-07-23,97294,0,47.1256455127946,97294,0,45850.4255452184,51443.5744547816
"23378","Moore",2021-07-24,97294,0,47.1605417709368,97294,0,45884.3775106153,51409.6224893847
"23379","Moore",2021-07-25,97294,307.692307692308,47.1963518264528,97294,307.692307692308,45611.5262383367,51374.781453971
"23380","Moore",2021-07-26,97294,0,47.2330756793425,97294,0,45954.9486514595,51339.0513485405
"23381","Moore",2021-07-27,97294,0,47.2707133296156,97294,0,45991.5678269162,51302.4321730838
"23382","Moore",2021-07-28,97294,0,47.3092647772624,97294,0,46029.0760723897,51264.9239276103
"23383","Moore",2021-07-29,97294,615.384615384615,47.3487300222829,97294,615.384615384615,45452.0887724953,51226.52661212
"23384","Moore",2021-07-30,97294,0,47.3908141780891,97294,0,46108.41874643,51185.58125357
"23385","Moore",2021-07-31,97294,0,47.4355172446742,97294,0,46151.9121480333,51142.0878519667
"23386","Moore",2021-08-01,97294,461.538461538462,47.4828392220457,97294,461.538461538462,45736.4151311587,51096.0464073028
"23387","Moore",2021-08-02,97294,0,47.5327801102027,97294,0,46246.5430804207,51047.4569195793
"23388","Moore",2021-08-03,97294,0,47.5853399091389,97294,0,46297.6806111976,50996.3193888024
"23389","Moore",2021-08-04,97294,0,47.6405186188612,97294,0,46351.3661850349,50942.6338149651
"23390","Moore",2021-08-05,97294,1230.76923076923,47.6983162393692,97294,1230.76923076923,45176.8305711626,50886.4001980682
"23391","Moore",2021-08-06,97294,0,47.7582981501989,97294,0,46465.9586022546,50828.0413977454
"23392","Moore",2021-08-07,97294,0,47.8204643513589,97294,0,46526.4425860112,50767.5574139888
"23393","Moore",2021-08-08,97294,307.692307692308,47.8848148428492,97294,307.692307692308,46281.3594455094,50704.9482467983
"23394","Moore",2021-08-09,97294,0,47.9513496246696,97294,0,46653.7861038261,50640.2138961739
"23395","Moore",2021-08-10,97294,0,48.0200686968203,97294,0,46720.6456378844,50573.3543621156
"23396","Moore",2021-08-11,97294,0,48.0909720593013,97294,0,46789.6303553766,50504.3696446234
"23397","Moore",2021-08-12,97294,153.846153846154,48.1640597121124,97294,153.846153846154,46706.8941024565,50433.2597436973
"23398","Moore",2021-08-13,97294,0,48.2382320873882,97294,0,46932.9055271035,50361.0944728965
"23399","Moore",2021-08-14,97294,0,48.3139182629158,97294,0,47006.5436347213,50287.4563652787
"23400","Moore",2021-08-15,97294,307.692307692308,48.3910839124812,97294,307.692307692308,46773.9288741171,50212.3788181905
"23401","Moore",2021-08-16,97294,0,48.4696689651913,97294,0,47158.0797229933,50135.9202770067
"23402","Moore",2021-08-17,97294,0,48.5458773815805,97294,0,47232.225939635,50061.774060365
